module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
dept-optimizely,anytime,Optimizely Setup,OS,,skill:dept-opti-setup,dept-opti-setup,false,optimizely-architect,Create Mode,"Guided setup for a new Optimizely project. Determines platform (CMS 12 or SaaS CMS), establishes project conventions, configures reference material, and produces a project context document.",planning_artifacts,"project context",
dept-optimizely,anytime,Optimizely Reference,OR,,skill:dept-opti-reference,dept-opti-reference,false,,,"Comprehensive Optimizely platform reference covering CMS 12, SaaS CMS, Content Graph, Commerce, DXP Cloud, CMP, and Opal AI.",,
dept-optimizely,anytime,Graph Query Helper,GQ,,skill:dept-opti-graph-query,dept-opti-graph-query,false,graph-specialist,,"Content Graph query design assistance. Authentication patterns, query optimisation, cached templates, search types, pagination strategies.",,
dept-optimizely,anytime,Visual Builder Patterns,VB,,skill:dept-opti-visual-builder,dept-opti-visual-builder,false,saas-developer,,"Visual Builder composition patterns. Experience/Section/Element hierarchy, Styles, Display Templates, Blueprints, Contracts.",,
dept-optimizely,anytime,Integration Patterns,IP,,skill:dept-opti-integration-patterns,dept-opti-integration-patterns,false,optimizely-architect,,"Integration architecture patterns. Commerce-CMS, CMP-CMS, Opal AI, third-party systems, event-driven patterns.",,
dept-optimizely,anytime,Content Governance,CG,,skill:dept-opti-content-governance,dept-opti-content-governance,false,content-analyst,,"Content governance patterns. Editorial workflows, multi-language governance, role design, content lifecycle management.",,
dept-optimizely,anytime,Multi-Site Architecture,MS,,skill:dept-opti-multi-site,dept-opti-multi-site,false,optimizely-architect,,"Multi-site and multi-language architecture. Site definitions, language management, multi-brand, multi-market patterns.",,
dept-optimizely,anytime,Security Patterns,SP,,skill:dept-opti-security,dept-opti-security,false,devops-engineer,,"Security patterns for Optimizely. RBAC, API auth, Content Graph security, DXP Cloud, Commerce PCI, Opal AI guardrails.",,
dept-optimizely,anytime,Testing Strategy,TS,,skill:dept-opti-testing-strategy,dept-opti-testing-strategy,false,qa-engineer,,"Testing strategy patterns. .NET unit testing, Content Graph validation, E2E testing, migration testing, Opal AI evaluation.",,
dept-optimizely,anytime,Docs Search,DS,,skill:dept-opti-docs-search,dept-opti-docs-search,false,,,"Search official Optimizely documentation. Navigation guide for CMS 12, SaaS CMS, Content Graph, Commerce, Opal docs.",,
dept-optimizely,1-analysis,Source Audit,SA,10,skill:dept-opti-source-audit,dept-opti-source-audit,false,content-migration,Create Mode,"Audit source CMS for migration to Optimizely. Content inventory, quality scoring, complexity assessment, effort estimation.",migration_artifacts,"source audit report",
dept-optimizely,1-analysis,Content Model,CM,20,skill:dept-opti-content-model,dept-opti-content-model,false,content-analyst,Create Mode,"Design structured content model. CMS-agnostic then validated against target platform (CMS 12 PageData/BlockData or SaaS CMS Visual Builder patterns).",planning_artifacts,"content model",
dept-optimizely,1-analysis,Platform Assessment,PA,30,skill:dept-opti-platform-assessment,dept-opti-platform-assessment,false,optimizely-architect,Create Mode,"Assess which Optimizely platform fits. CMS 12 vs SaaS CMS comparison, Commerce readiness, CMP and Opal AI opportunities.",planning_artifacts,"platform assessment",
dept-optimizely,2-planning,Architecture,AA,10,skill:dept-opti-architecture,dept-opti-architecture,true,optimizely-architect,Create Mode,"Design Optimizely technical architecture in ADR format. Platform choice, component model, integration patterns, deployment architecture.",planning_artifacts,"architecture decision records",
dept-optimizely,2-planning,Migration Plan,MP,20,skill:dept-opti-migration-plan,dept-opti-migration-plan,false,content-migration,Create Mode,"Create phased migration plan. Content model mapping, wave plan, effort estimates, URL redirect strategy, content freeze schedule.",migration_artifacts,"migration plan",
dept-optimizely,2-planning,Performance Audit,PF,30,skill:dept-opti-performance-audit,dept-opti-performance-audit,false,performance-optimiser,Create Mode,"Audit implementation for performance. CDN, caching, Content Graph queries, SSR/SSG, image delivery, DXP Cloud config.",planning_artifacts,"performance audit report",
dept-optimizely,3-solutioning,Build Component,BC,10,skill:dept-opti-build-component,dept-opti-build-component,false,optimizely-developer,Create Mode,"Build production-ready Optimizely component. CMS 12 (C# BlockData/PageData + MVC views) or SaaS CMS (content type + React component). Content model first.",implementation_artifacts,"component",
dept-optimizely,3-solutioning,Headless Implementation,HI,20,skill:dept-opti-headless-implementation,dept-opti-headless-implementation,false,saas-developer,Create Mode,"Implement headless front-end consuming SaaS CMS via Content Graph. Next.js setup, query layer, Visual Builder rendering, preview integration.",implementation_artifacts,"headless front-end",
dept-optimizely,3-solutioning,Opal Configure,OC,30,skill:dept-opti-opal-configure,dept-opti-opal-configure,false,opal-specialist,Create Mode,"Configure Opal AI agents and workflows. Agent design, tool configuration, instructions framework, RAG, evaluations, deployment.",planning_artifacts,"opal configuration",
